"","Tillage","WeedControl","Block","Yield"
"1","MIN","TOT",1,11.614
"2","MIN","TOT",2,9.283
"3","MIN","TOT",3,7.019
"4","MIN","TOT",4,8.015
"5","MIN","PART",1,5.117
"6","MIN","PART",2,4.306
"7","MIN","PART",3,8.94
"8","MIN","PART",4,5.617
"9","SP","TOT",1,10.019
"10","SP","TOT",2,8.686
"11","SP","TOT",3,8.904
"12","SP","TOT",4,8.956
"13","SP","PART",1,7.975
"14","SP","PART",2,8.355
"15","SP","PART",3,7.99
"16","SP","PART",4,9.581
"17","DP","PART",1,11.477
"18","DP","PART",2,10.671
"19","DP","PART",3,10.567
"20","DP","PART",4,9.8
"21","DP","TOT",1,10.111
"22","DP","TOT",2,8.784
"23","DP","TOT",3,7.927
"24","DP","TOT",4,10.005
