T_CICLAJE,SUSPENSIO,MALLA,OBSERV
C1,A1,B1,60
C1,A1,B1,75
C1,A1,B1,75
C1,A1,B1,86
C1,A1,B1,70
C1,A1,B1,70
C1,A1,B2,67
C1,A1,B2,73
C1,A1,B2,73
C1,A1,B2,67
C1,A1,B2,68
C1,A1,B2,88
C2,A1,B1,55
C2,A1,B1,53
C2,A1,B1,53
C2,A1,B1,55
C2,A1,B1,55
C2,A1,B1,55
C2,A1,B2,52
C2,A1,B2,52
C2,A1,B2,57
C2,A1,B2,52
C2,A1,B2,54
C2,A1,B2,54
C1,A2,B1,62
C1,A2,B1,68
C1,A2,B1,65
C1,A2,B1,76
C1,A2,B1,65
C1,A2,B1,65
C1,A2,B2,71
C1,A2,B2,80
C1,A2,B2,80
C1,A2,B2,72
C1,A2,B2,80
C1,A2,B2,80
C2,A2,B1,44
C2,A2,B1,44
C2,A2,B1,45
C2,A2,B1,48
C2,A2,B1,48
C2,A2,B1,45
C2,A2,B2,60
C2,A2,B2,60
C2,A2,B2,60
C2,A2,B2,67
C2,A2,B2,67
C2,A2,B2,65
C1,A3,B1,76
C1,A3,B1,71
C1,A3,B1,75
C1,A3,B1,70
C1,A3,B1,68
C1,A3,B1,73
C1,A3,B2,75
C1,A3,B2,75
C1,A3,B2,75
C1,A3,B2,75
C1,A3,B2,75
C1,A3,B2,77
C2,A3,B1,52
C2,A3,B1,51
C2,A3,B1,50
C2,A3,B1,52
C2,A3,B1,48
C2,A3,B1,54
C2,A3,B2,56
C2,A3,B2,55
C2,A3,B2,57
C2,A3,B2,59
C2,A3,B2,50
C2,A3,B2,55
