"","AlcaldiaHechos","Bajo_Impacto","Violacion","Homicidio_Arma_deFuego","Secuestro","Robo"
"1","ALVARO OBREGON",1656.48624688297,13.1728528579163,23.5794066156702,0,361.067896835485
"2","AZCAPOTZALCO",2063.14133339503,11.5685843523328,30.5410626901586,0.925486748186624,404.206337270508
"3","BENITO JUAREZ",3043.85781049538,11.7470108464067,17.2750159505981,0.230333546007974,415.291383452377
"4","COYOACAN",1972.34261050994,11.2296097141006,16.1120487202314,0.162747966871024,297.340535473361
"5","CUAJIMALPA DE MORELOS",1428.20392675689,10.1062998998558,6.89065902262892,0,115.763071580166
"6","CUAUHTEMOC",4491.2472246851,34.256362157528,42.1334935627349,0.183189102446674,546.453092598427
"7","GUSTAVO A MADERO",1582.64662492298,13.465706340217,36.9028534513543,0.255677968485134,318.404296753486
"8","IZTACALCO",1687.93782972362,10.6252857089907,36.8178504799911,0.247099667650947,387.699378544336
"9","IZTAPALAPA",1404.80504890803,13.3479634276698,34.9771123288328,0.38137038364771,359.63227177979
"10","LA MAGDALENA CONTRERAS",1539.44318356204,14.538288197333,16.5574948914071,0,185.363174515996
"11","MIGUEL HIDALGO",2548.55598716433,15.6826790841315,26.298646464159,0,527.903105170459
"12","MILPA ALTA",1078.03648033533,11.7889773062187,14.4087500409339,0.654943183678816,116.579886694829
"13","TLAHUAC",1250.02230361981,13.254722632184,31.8623140196731,0.254898512157385,292.36859344452
"14","TLALPAN",1579.30529997371,14.7157993393606,30.2888297081986,0.857231029477318,256.59782149021
"15","VENUSTIANO CARRANZA",2239.78147593891,20.0584173232606,51.1602329480915,0.450750951084507,487.487153597894
"16","XOCHIMILCO",1364.38266942272,21.0322539791668,16.7353418758961,0.226153268593191,268.896236357304
